cafe_id,name,description,website,featured_image,main_category,categories,workday_timing,closed_on,phone,address,review_keywords,link,feature,outdoor,Indoor,RetroVintage,MinimalisCafe,IndustrialCafe,ModernCafe,ArtCafe,PetCafe,BooksCafe,24HoursCafe,MeetingCafe,StudyCafe,goodViews,FamilyCafe,CountryFood,Smoking,NonSmoking,Coffee,NonCoffee,GardenCafe
ChIJLSH8Jz_0aS4R_fiIMX4JkO8,Bakoel Koffie Cikini,"Tempat mengolah kopi yang menyajikan kopi klasik & campuran, serta makanan Indonesia, di ruang luas & klasik.",http://bakoelkoffie.com/,https://lh5.googleusercontent.com/p/AF1QipOSBsqvPfKyrnB00AeAyECMzRg9-80HbF19MUZc=w408-h306-k-no,Kedai Kopi,"Kedai Kopi, Kafe",08.00-23.30,,(021) 31936608,"Bakoel Koffie Cikini, Jl. Cikini Raya No.25, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330","meeting, lantai, smoking area, tempo, congklak, makanan indonesia, kopi tubruk, pisang goreng, kolonial, kepayang",https://www.google.com/maps/place/Bakoel+Koffie+Cikini/data=!4m7!3m6!1s0x2e69f43f27fc212d:0xef90097e3188f8fd!8m2!3d-6.1878471!4d106.8369566!16s%2Fg%2F1ywqfm4wn!19sChIJLSH8Jz_0aS4R_fiIMX4JkO8?authuser=0&hl=id&rclk=1,"outdoor, indoor, vintage, art cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee",1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0
ChIJtX1aSBT0aS4RYeoXrSXRWCY,Anomali Coffee Menteng,,http://store.anomalicoffee.com/,https://lh5.googleusercontent.com/p/AF1QipNGodRJrMMty3uqy-JBhFtEHDxRlKJjf2YtxNxo=w426-h240-k-no,Mesin Sangrai Kopi,"Mesin Sangrai Kopi, Kafe, Kedai Kopi",07.00-23.00,,(021) 3106370,"Anomali Coffee Menteng, Jl. Teuku Cik Ditiro No.52, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","meeting, wifi, toilet, pesan, colokan, panas, gula aren, akses internet, diskusi",https://www.google.com/maps/place/Anomali+Coffee+Menteng/data=!4m7!3m6!1s0x2e69f414485a7db5:0x2658d125ad17ea61!8m2!3d-6.1994197!4d106.8370158!16s%2Fg%2F11b7c8mkb6!19sChIJtX1aSBT0aS4RYeoXrSXRWCY?authuser=0&hl=id&rclk=1,"outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee",1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
ChIJ9UFwzvbzaS4R91dtdzt6_U8,Lucky Cat Coffee & Kitchen,"Kafe luas 2 lantai yang menyajikan kopi, makanan rumahan, dan hidangan penutup di lingkungan bergaya pedesaan.",https://www.instagram.com/luckycatcoffeekitchen/,https://lh5.googleusercontent.com/p/AF1QipNOeRN74gV6QoWZIllWejGUDOGlX3xV5PUOhEhZ=w426-h240-k-no,Kedai Kopi,"Kedai Kopi, Kafe, Restoran",Buka 24 jam,,(021) 52961475,"Lucky Cat Coffee & Kitchen, Parkir Selatan Plaza Festival, Jl. H. R. Rasuna Said No.C22, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","interior, pohon, smoking area, roasted chicken, pelayuran, nachos, tengah malam, donburi, klepon",https://www.google.com/maps/place/Lucky+Cat+Coffee+%26+Kitchen/data=!4m7!3m6!1s0x2e69f3f6ce7041f5:0x4ffd7a3b776d57f7!8m2!3d-6.2213856!4d106.8337835!16s%2Fg%2F11c464pjyp!19sChIJ9UFwzvbzaS4R91dtdzt6_U8?authuser=0&hl=id&rclk=1,"outdoor, indoor, minimalis cafe, 24 hours cafe, meeting cafe, study cafe, family cafe, smoking, coffee, noncoffee, gardencafe",1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1
ChIJUbFWB1vxaS4Rz4bnXgpxEoc,Anomali Coffee,,http://store.anomalicoffee.com/,https://lh5.googleusercontent.com/p/AF1QipPVGzoNzcaxne9WvpV-NfBuUn6No7V43SvfAhc4=w408-h544-k-no,Kafe,"Kafe, Kedai Kopi",07.00-23.00,,(021) 52920102,"Anomali Coffee, Jl. Senopati No.19, RT.6/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","meeting, lantai, smoking area, valet, santai, kopi single origin, kopi luwak, cacar monyet, cordon bleu",https://www.google.com/maps/place/Anomali+Coffee/data=!4m7!3m6!1s0x2e69f15b0756b151:0x8712710a5ee786cf!8m2!3d-6.2305437!4d106.8080776!16s%2Fg%2F1tf8j37j!19sChIJUbFWB1vxaS4Rz4bnXgpxEoc?authuser=0&hl=id&rclk=1,"outdoor, indoor, industrial cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee",1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
ChIJZ3frHBX0aS4Rb3PvKlxkrHk,Giyanti Coffee Roastery,Tempat nongkrong dan menikmati kopi dengan biji kopi pilihan dari Indonesia dan negara lainnya.,http://www.giyanticoffeeroastery.com/,https://lh3.googleusercontent.com/gps-proxy/AFm_dcSrE-8AqqHRGTllO52eH5hzF-Yu_j7MrU0XncBQ3JuAVWmGhJOZx3-FcHD15SruuWarQt-msdDW7HUyB_V8VBgDy4L803FrZyMLn7d5Ad7v_lospvQvtK2e1IIPti7L7KKnoU_z6pv7zHWYK6U-0A9YPsUdj9b4H-s64Dj5AELQEV-BRzPdJuiJ=w408-h410-k-no,Mesin Sangrai Kopi,"Mesin Sangrai Kopi, Kedai Kopi, Toko kopi, Restoran",08.30-17.30,Senin,(021) 31923698,"Giyanti Coffee Roastery, Jl. Surabaya No.20, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","smoking, foto, interior, pelayannya, brownies, sore, meeting, berat, canele, barang antik",https://www.google.com/maps/place/Giyanti+Coffee+Roastery/data=!4m7!3m6!1s0x2e69f4151ceb7767:0x79ac645c2aef736f!8m2!3d-6.1988632!4d106.8395423!16s%2Fg%2F12vqtc6zk!19sChIJZ3frHBX0aS4Rb3PvKlxkrHk?authuser=0&hl=id&rclk=1,"outdoor, indoor, minimalis cafe, art cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee,",1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0
ChIJmS8JUrT2aS4R99BZY-87klI,The Cafe,Restoran elegan yang buka seharian di lobi hotel dengan makanan kosmopolitan dari susyi hingga kari India.,http://www.themulia.com/the-cafe-jakarta,https://lh5.googleusercontent.com/p/AF1QipNd6jJLXJ3YZ6xzFuJF3YYpjzLD4ZeJngIi9eRk=w408-h261-k-no,Restoran Prasmanan,"Restoran Prasmanan, Kedai Sarapan, Kafe, Prasmanan Kue Manis dan Makanan Penutup, Restoran Indonesia, Restoran Italia, Restoran Jepang, Restoran Korea","06.00-10.00, 12.00-15.00",,(021) 5747777,"The Cafe, Senayan, Jl. Asia Afrika, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","hotel, sashimi, kambing, makanan indonesia, bintang, lychee, sirloin, kopi jeli, romantis",https://www.google.com/maps/place/The+Caf%C3%A9/data=!4m7!3m6!1s0x2e69f6b452092f99:0x52923bef6359d0f7!8m2!3d-6.2149549!4d106.7970461!16s%2Fg%2F1tj6lc7s!19sChIJmS8JUrT2aS4R99BZY-87klI?authuser=0&hl=id&rclk=1,"indoor, modern cafe, art cafe, meeting cafe, family cafe, country food, nonsmoking, coffee, noncoffee",0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
ChIJ6SEPNDz3aS4R4vV0JZXzhx8,Arborea Cafe,"Kafe nyaman dengan tempat duduk outdoor di ruang hijau yang teduh, menawarkan masakan lokal & kopi berkelas.",https://www.instagram.com/arboreacafe/%3Fhl%3Den,https://lh5.googleusercontent.com/p/AF1QipPe4gPbFqgfaThMESdmYoevHH509apAlb5aFwWV=w408-h408-k-no,Kafe,Kafe,08.00-21.00,,0898-3535-476,"Arborea Cafe, Manggala Wanabakti complex, Jl. Gatot Subroto No.1, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270","nyamuk, alam, konsep, rindang, hutan kota, kementerian, arboretum, lotion, kehutanan, penolak serangga",https://www.google.com/maps/place/Arborea+Caf%C3%A9/data=!4m7!3m6!1s0x2e69f73c340f21e9:0x1f87f3952574f5e2!8m2!3d-6.2061919!4d106.8013884!16s%2Fg%2F11g2pr4l7t!19sChIJ6SEPNDz3aS4R4vV0JZXzhx8?authuser=0&hl=id&rclk=1,"outdoor, indoor, good views, family cafe, nonsmoking, coffee, noncoffee, gardencafe",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
ChIJv-3vXEDxaS4R0nmvTmJc5WA,Walking Drums,"Kafe ramai yang menyajikan menu bervariasi seperti nasi bungkus daun, pizza renyah, dan kopi.",http://walkingdrums.id/,https://lh5.googleusercontent.com/p/AF1QipMAVvsrortmKejBENojQE2Bq2exLD9LRITTDqDq=w408-h305-k-no,Kedai Kopi,"Kedai Kopi, Restoran",07.00-22.00,,(021) 27515536,"Walking Drums, Jl. Pati Unus No.4, RT.4/RW.4, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120","futsal, meeting, basket, pizza, nasi goreng, salted egg, smoking area, loco moco, nasi bakar, panna cotta",https://www.google.com/maps/place/Walking+Drums/data=!4m7!3m6!1s0x2e69f1405cefedbf:0x60e55c624eaf79d2!8m2!3d-6.2354107!4d106.7959308!16s%2Fg%2F11cjhpqsd9!19sChIJv-3vXEDxaS4R0nmvTmJc5WA?authuser=0&hl=id&rclk=1,"outdoor, indoor, modern cafe, meeting cafe, study cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee",1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
ChIJP_KCL7_xaS4RK-0fDLYtghU,Shisha Cafe Kemang,"Tempat ramai hingga larut malam yang menawarkan berbagai pipa hookah berperisa, DJ, dansa, dan koktail.",http://www.shisha.co.id/,https://lh5.googleusercontent.com/p/AF1QipO5o-rsL_I-wJJ6oyzpDK9tcLRnmId8gDAmSPI3=w424-h240-k-no,Kafe,"Kafe, Restoran Lebanon, Restoran Timur Tengah",09.00-00.00,,(021) 7193587,"Shisha Cafe Kemang, Jl. Kemang Raya No.10, RT.9/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","tari perut, hidangan arab, masakan timur tengah, hiburan, jumat, makan malam, romantis, shisa, penari, pertunjukan",https://www.google.com/maps/place/Shisha+Cafe+Kemang/data=!4m7!3m6!1s0x2e69f1bf2f82f23f:0x15822db60c1fed2b!8m2!3d-6.2567107!4d106.8146994!16s%2Fg%2F1wrb5wtr!19sChIJP_KCL7_xaS4RK-0fDLYtghU?authuser=0&hl=id&rclk=1,"outdoor, indoor, art cafe, country food, smoking, coffee, noncoffee",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
ChIJq6ca0EjxaS4RfRbksOau540,Monolog Coffee Company Plaza Senayan,"Kafe yang menyediakan sarapan di pagi hari, kopi, tempat nongkrong, dan dengan DJ saat malam minggu.",http://www.monolog-coffee.com/,https://lh5.googleusercontent.com/p/AF1QipNAKbxY9RRSSeGEBsWV86s1zj9wGxA8OE9aRega=w426-h240-k-no,Kafe,"Kafe, Kedai Sarapan, Kedai Kopi, Restoran",07.00-22.00,,(021) 5725144,"Monolog Coffee Company Plaza Senayan, Plaza Senayan Mall, Palm Gate Entrance, Jl. Asia Afrika No.8, Gelora, Daerah Khusus Ibukota Jakarta 10270","meeting, pagi, parkiran, mall, smoking, donat, eggs benedict, olahraga, salmon, pinggul",https://www.google.com/maps/place/Monolog+Coffee+Company+Plaza+Senayan/data=!4m7!3m6!1s0x2e69f148d01aa7ab:0x8de7aee6b0e4167d!8m2!3d-6.2255785!4d106.7990353!16s%2Fg%2F1tf2hvt0!19sChIJq6ca0EjxaS4RfRbksOau540?authuser=0&hl=id&rclk=1,"indoor, minimalis cafe, study cafe, nonsmoking, coffee, noncoffee",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
